event_name,GPS,mass_1_source,mass_2_source,total_mass,chirp_mass,distance_mpc,snr,false_alarm_rate,catalog,commonName,event_date,event_year,event_type,observing_run,mass_bin,distance_bin,mass_ratio,high_confidence
GW190517_055101-v3,1242107479.8,39.0,27.0,65.0,28.0,2200.0,10.4,0.001,IAS-O3a,GW190517_055101,2019-05-17,2019,BBH,O3a,60–100,2k–5k,0.6923076923076923,False
GW190519_153544-v1,1242315362.4,66.0,40.5,106.6,44.5,2530.0,13.952630576346529,1e-05,GWTC-2,GW190519_153544,2019-05-19,2019,BBH,O3a,100+,2k–5k,0.6136363636363636,False
GW190519_153544-v2,1242315362.3,65.1,40.8,105.6,44.3,2600.0,15.9,1e-05,GWTC-2.1-confident,GW190519_153544,2019-05-19,2019,BBH,O3a,100+,2k–5k,0.6267281105990784,False
GW190519_153544-v3,1242315362.4,62.0,41.0,103.0,43.0,3000.0,14.5,0.001,IAS-O3a,GW190519_153544,2019-05-19,2019,BBH,O3a,100+,2k–5k,0.6612903225806451,False
GW190521_074359-v1,1242459857.5,42.2,32.8,74.7,32.1,1240.0,24.67251912553722,1e-05,GWTC-2,GW190521_074359,2019-05-21,2019,BBH,O3a,60–100,1k–2k,0.7772511848341231,False
GW190521_074359-v2,1242459857.4,43.4,33.4,76.3,32.8,1080.0,25.9,1e-05,GWTC-2.1-confident,GW190521_074359,2019-05-21,2019,BBH,O3a,60–100,1k–2k,0.7695852534562212,False
GW190521_074359-v3,1242459857.4,43.0,35.0,78.0,33.0,1000.0,24.0,0.001,IAS-O3a,GW190521_074359,2019-05-21,2019,BBH,O3a,60–100,500–1k,0.813953488372093,False
GW190521-v3,1242442967.4,95.3,69.0,163.9,69.2,3920.0,14.376046048896756,0.0002039635028,GWTC-2,GW190521,2019-05-21,2019,BBH,O3a,100+,2k–5k,0.7240293809024134,False
GW190521-v2,1242442967.4,85.0,66.0,150.0,64.0,5300.0,14.6,,O3_Discovery_Papers,GW190521,2019-05-21,2019,BBH,O3a,100+,5k+ Mpc,0.7764705882352941,False
GW190521-v1,1242442967.4,,,,,,,,O3_Discovery_Papers,GW190521,2019-05-21,2019,Unknown,O3a,,,,False
GW190521_030229-v4,1242442967.4,98.4,57.2,153.1,63.3,3310.0,14.3,0.0013,GWTC-2.1-confident,GW190521,2019-05-21,2019,BBH,O3a,100+,2k–5k,0.5813008130081301,False
GW190527_092055-v2,1242984073.7,35.6,22.2,58.1,23.9,2520.0,8.0,0.23,GWTC-2.1-confident,GW190527_092055,2019-05-27,2019,BBH,O3a,40–60,2k–5k,0.6235955056179775,False
GW190527_092055-v3,1242984073.8,39.0,24.0,63.0,26.0,3100.0,8.62,0.093,IAS-O3a,GW190527_092055,2019-05-27,2019,BBH,O3a,60–100,2k–5k,0.6153846153846154,False
